10;20
10;40
10;70
20;70
20;90
20;150
20;180
30;50
30;80
30;90
30;120
40;180
40;190
40;30
40;20
40;50
50;30
50;80
50;90
50;120
50;130
50;150
60;170
60;20
60;80
60;90
60;120
60;190
70;20
70;50
70;90
70;110
70;120
70;140
80;30
80;50
80;90
80;120
80;150
80;180
80;190
90;30
90;50
90;80
90;120
90;10
90;20
90;40
100;10
100;20
100;30
100;40
100;50
100;60
110;70
110;80
110;90
110;100
110;120
120;30
120;50
120;80
120;90
120;110
120;130
120;150
130;120
130;140
130;150
130;160
130;170
130;190
140;190
140;170
140;130
140;110
140;90
140;70
150;20
150;40
150;60
150;80
150;100
150;120
160;140
160;160
160;10
160;20
160;30
160;40
170;60
170;80
170;100
170;120
170;140
170;160
180;40
180;190
180;60
180;70
180;80
180;90
190;40
190;180
190;10
190;70
190;100
190;110
